id,latitude,longitude,event_type,description,update_at
69,-10.49,-74.55,Sismo,"Magnitud: 4.7, Referencia: 51 km al SE de Puerto Bermudez, Oxapampa - Pasco",2023-12-23 20:09:18
70,-16.58,-71.62,Sismo,"Magnitud: 3.5, Referencia: 23 km al SO de Arequipa, Arequipa - Arequipa",2023-12-23 20:13:18
71,-7.29,-76.9,Sismo,"Magnitud: 4.1, Referencia: 23 km al SO de Juanjui, Mariscal Caceres - San Martin",2023-12-24 01:15:18
72,-15.79,-71.79,Sismo,"Magnitud: 3.4, Referencia: 17 km al S de Maca, Caylloma - Arequipa",2023-12-24 11:21:18
73,-13.53,-72.46,Sismo,"Magnitud: 3.4, Referencia: 6 km al S de Limatambo, Anta - Cusco",2023-12-25 23:23:19
74,-4.89,-80.76,Sismo,"Magnitud: 3.7, Referencia: 8 km al O de Sullana, Sullana - Piura",2023-12-26 04:25:18
75,-11.97,-75.65,Sismo,"Magnitud: 4.3, Referencia: 28 km al SO de Jauja, Jauja - Junin",2023-12-26 11:23:18
76,-9.65,-79.05,Sismo,"Magnitud: 4.0, Referencia: 75 km al SO de Samanco, Santa - Ancash",2023-12-27 14:24:18
77,-3.55,-80.74,Sismo,"Magnitud: 4.1, Referencia: 16 km al NO de Zorritos, Contralmirante Villar - Tumbes",2023-12-28 03:19:19
78,-11.22,-75.93,Sismo,"Magnitud: 3.7, Referencia: 9 km al SE de Junin, Junin - Junin",2023-12-28 08:21:19
79,-11.8,-77.52,Sismo,"Magnitud: 4.4, Referencia: 38 km al O de Ancon, Lima - Lima",2023-12-29 14:56:18
80,-8.32,-79.14,Sismo,"Magnitud: 4.3, Referencia: 23 km al SO de Salaverry, Trujillo - La Libertad",2023-12-29 19:57:18
81,-16.78,-71.24,Sismo,"Magnitud: 3.4, Referencia: 7 km al O de La Capilla, General Sanchez Cerro - Moquegua",2023-12-30 03:12:18
82,-13.08,-76.81,Sismo,"Magnitud: 3.9, Referencia: 47 km al O de San Vicente De Cañete, Cañete - Lima",2023-12-30 08:14:19
83,-6.4,-76.93,Sismo,"Magnitud: 4.0, Referencia: 42 km al S de Moyobamba, Moyobamba - San Martin",2023-12-31 14:54:18
84,-9.67,-75.63,Sismo,"Magnitud: 4.0, Referencia: 19 km al O de Codo Del Pozuzo, Puerto Inca - Huanuco",2023-12-31 17:13:38
85,-10.69,-78.54,Sismo,"Magnitud: 4.2, Referencia: 81 km al SO de Huarmey, Huarmey - Ancash",2024-01-01 07:12:19
86,-16.53,-71.63,Sismo,"Magnitud: 3.7, Referencia: 18 km al SO de Arequipa, Arequipa - Arequipa",2024-01-01 20:11:19
87,-11.92,-77.74,Sismo,"Magnitud: 3.5, Referencia: 65 km al O de Ancon, Lima - Lima",2024-01-04 12:06:19
88,-12.13,-77.45,Sismo,"Magnitud: 3.5, Referencia: 35 km al O de Provincia Constitucional del Callao , Callao - Lima",2024-01-04 18:53:19
89,-5.83,-81.03,Sismo,"Magnitud: 4.8, Referencia: 39 km al SO de Sechura, Sechura - Piura",2024-01-04 17:08:19
90,-12.14,-77.3,Sismo,"Magnitud: 4.0, Referencia: 20 km al SO de Provincia Constitucional del Callao , Callao - Lima",2024-01-04 18:56:19
91,-15.57,-74.35,Sismo,"Magnitud: 4.5, Referencia: 21 km al NE de Yauca, Caraveli - Arequipa",2024-01-05 01:03:19
92,-8.62,-74.53,Sismo,"Magnitud: 4.4, Referencia: 28 km al S de Pucallpa, Coronel Portillo - Ucayali",2024-01-05 07:36:19
93,-11.79,-77.57,Sismo,"Magnitud: 3.7, Referencia: 44 km al O de Ancon, Lima - Lima",2024-01-05 17:39:19
94,-14.65,-70.75,Sismo,"Magnitud: 4.4, Referencia: 22 km al N de Umachiri, Melgar - Puno",2024-01-06 10:36:47
95,-18.35,-69.44,Sismo,"Magnitud: 5.2, Referencia: 87 km al SE de Calana, Tacna - Tacna",2024-01-07 08:41:19
96,-3.69,-80.88,Sismo,"Magnitud: 4.4, Referencia: 25 km al O de Zorritos, Contralmirante Villar - Tumbes",2024-01-07 15:18:18
97,-5.13,-79.98,Sismo,"Magnitud: 4.0, Referencia: 20 km al E de Chulucanas, Morropon - Piura",2024-01-08 04:27:18
98,-9.87,-74.87,Sismo,"Magnitud: 3.8, Referencia: 48 km al N de Puerto Bermudez, Oxapampa - Pasco",2024-01-08 09:30:18
99,-15.15,-73.32,Sismo,"Magnitud: 3.4, Referencia: 3 km al O de Colta, Paucar Del Sara Sara - Ayacucho",2024-01-08 13:58:19
100,-10.19,-75.67,Sismo,"Magnitud: 4.1, Referencia: 16 km al SO de Pozuzo, Oxapampa - Pasco",2024-01-08 23:52:19
101,-8.02,-79.88,Sismo,"Magnitud: 5.2, Referencia: 78 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad",2024-01-09 04:54:18
102,-5.54,-80.74,Sismo,"Magnitud: 4.0, Referencia: 9 km al E de Sechura, Sechura - Piura",2024-01-09 09:23:19
103,-13.81,-74.23,Sismo,"Magnitud: 4.1, Referencia: 16 km al NE de Huanca Sancos, Sancos - Ayacucho",2024-01-09 14:25:19
104,-11.79,-77.67,Sismo,"Magnitud: 3.5, Referencia: 55 km al O de Ancon, Lima - Lima",2024-01-09 18:27:55
105,-14.37,-73.97,Sismo,"Magnitud: 4.1, Referencia: 32 km al SO de Soras, Sucre - Ayacucho",2024-01-10 00:45:18
106,-10.96,-74.94,Sismo,"Magnitud: 4.2, Referencia: 41 km al E de La Merced, Chanchamayo - Junin",2024-01-10 09:25:19
107,-15.8,-72.06,Sismo,"Magnitud: 4.0, Referencia: 9 km al SE de Huambo, Caylloma - Arequipa",2024-01-11 03:43:18
108,-5.88,-76.7,Sismo,"Magnitud: 5.2, Referencia: 35 km al NE de Moyobamba, Moyobamba - San Martin",2024-01-11 00:03:19
109,-16.61,-71.64,Sismo,"Magnitud: 3.5, Referencia: 27 km al SO de Arequipa, Arequipa - Arequipa",2024-01-11 20:48:19
110,-15.0,-72.35,Sismo,"Magnitud: 4.0, Referencia: 54 km al N de Andagua, Castilla - Arequipa",2024-01-12 07:03:19
111,-15.8,-71.77,Sismo,"Magnitud: 3.6, Referencia: 18 km al S de Maca, Caylloma - Arequipa",2024-01-12 12:05:18
112,-17.05,-72.8,Sismo,"Magnitud: 5.7, Referencia: 49 km al S de Camana, Camana - Arequipa",2024-01-12 15:12:18
113,-10.04,-75.12,Sismo,"Magnitud: 4.3, Referencia: 32 km al NO de Puerto Bermudez, Oxapampa - Pasco",2024-01-13 05:33:18
114,-15.78,-71.75,Sismo,"Magnitud: 3.7, Referencia: 16 km al S de Maca, Caylloma - Arequipa",2024-01-14 02:06:18
115,-12.5,-76.7,Sismo,"Magnitud: 3.5, Referencia: 4 km al E de Chilca, Cañete - Lima",2024-01-14 19:47:18
116,-11.36,-77.96,Sismo,"Magnitud: 3.8, Referencia: 47 km al SO de Huacho, Huaura - Lima",2024-01-15 17:39:19
117,-4.07,-77.66,Sismo,"Magnitud: 4.4, Referencia: 61 km al N de Sta. Maria De Nieva, Condorcanqui - Amazonas",2024-01-16 06:44:18
118,-13.36,-74.63,Sismo,"Magnitud: 4.0, Referencia: 39 km al NO de Chuschi, Cangallo - Ayacucho",2024-01-16 14:51:19
119,-15.5,-71.85,Sismo,"Magnitud: 4.5, Referencia: 12 km al N de Madrigal, Caylloma - Arequipa",2024-01-19 12:27:18
120,-12.75,-76.97,Sismo,"Magnitud: 3.6, Referencia: 37 km al SO de Chilca, Cañete - Lima",2024-01-20 03:46:18
121,-16.87,-72.23,Sismo,"Magnitud: 3.5, Referencia: 27 km al SE de Quilca, Camana - Arequipa",2024-01-20 20:13:19
122,-7.27,-71.58,Sismo,"Magnitud: 6.5, Referencia: 294 km al N de Esperanza, Purus - Ucayali",2024-01-21 01:15:19
123,-15.46,-70.59,Sismo,"Magnitud: 4.0, Referencia: 24 km al N de Santa Lucia, Lampa - Puno",2024-01-21 09:51:18
124,-5.41,-77.71,Sismo,"Magnitud: 4.2, Referencia: 54 km al N de Jumbilla, Bongara - Amazonas",2024-01-22 17:28:19
125,-16.08,-72.87,Sismo,"Magnitud: 4.0, Referencia: 36 km al SO de Chuquibamba, Condesuyos - Arequipa",2024-01-22 22:30:18
126,-16.92,-69.91,Sismo,"Magnitud: 4.3, Referencia: 34 km al NO de Capaso, El Collao - Puno",2024-01-23 13:00:18
127,-7.17,-80.01,Sismo,"Magnitud: 4.2, Referencia: 39 km al S de Pimentel, Chiclayo - Lambayeque",2024-01-23 18:02:18
128,-14.67,-76.1,Sismo,"Magnitud: 4.9, Referencia: 78 km al SO de Ica, Ica - Ica",2024-01-23 22:25:19
129,-18.22,-71.29,Sismo,"Magnitud: 4.0, Referencia: 65 km al S de Ilo, Ilo - Moquegua",2024-01-25 11:27:18
130,-10.92,-73.97,Sismo,"Magnitud: 4.5, Referencia: 32 km al SO de Atalaya, Atalaya - Ucayali",2024-01-25 19:24:18
131,-16.38,-74.04,Sismo,"Magnitud: 4.4, Referencia: 49 km al O de Atico, Caraveli - Arequipa",2024-01-27 10:15:16
132,-12.52,-76.92,Sismo,"Magnitud: 3.5, Referencia: 20 km al O de Chilca, Cañete - Lima",2024-01-27 16:11:16
133,-4.21,-80.41,Sismo,"Magnitud: 4.5, Referencia: 66 km al SE de Zorritos, Contralmirante Villar - Tumbes",2024-01-28 05:25:16
134,-8.17,-71.26,Sismo,"Magnitud: 6.2, Referencia: 188 km al N de Esperanza, Purus - Ucayali",2024-01-28 09:44:08
135,-15.78,-71.75,Sismo,"Magnitud: 3.6, Referencia: 16 km al S de Maca, Caylloma - Arequipa",2024-01-29 15:51:16
136,-9.58,-78.69,Sismo,"Magnitud: 3.9, Referencia: 42 km al SO de Samanco, Santa - Ancash",2024-01-29 20:53:16
137,-11.86,-76.86,Sismo,"Magnitud: 4.2, Referencia: 19 km al NO de Chosica, Lima - Lima",2024-01-30 01:10:16
138,-8.49,-74.71,Sismo,"Magnitud: 4.5, Referencia: 24 km al SO de Pucallpa, Coronel Portillo - Ucayali",2024-01-30 17:51:16
139,-3.05,-77.77,Sismo,"Magnitud: 4.1, Referencia: 153 km al O de Pastaza, Datem del Marañón - Loreto",2024-01-30 22:53:16
140,-15.5,-71.64,Sismo,"Magnitud: 4.3, Referencia: 15 km al N de Chivay, Caylloma - Arequipa",2024-01-31 01:15:30
141,-11.37,-73.39,Sismo,"Magnitud: 4.2, Referencia: 83 km al SE de Atalaya, Atalaya - Ucayali",2024-01-31 12:24:19
142,-15.81,-71.85,Sismo,"Magnitud: 3.6, Referencia: 21 km al SO de Maca, Caylloma - Arequipa",2024-01-31 19:12:16
