"id","name","country","department","multiregional_or_nationalcd","province","district","location","other_places_involved","company_involved","type","activity","state","active_phases","time_of_dialogue","dialogue_mechanism","participation_dialogue","incident_of_violence","dialogue_after_violence","ombudsman_office","main_government","latitude","longitude","hash","createdAt","updatedAt","source"
4105,Sinchi Roca - Derrame de petroleo ONP,Perú,Loreto,"",Datem del Marañón,Manseriche,"","",Petroperú,Socioambiental,Hidrocarburos,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,Solo monitoreo,Gobierno nacional,-4.693224939580002,-77.44574343958,loreto-datem del maranon-manseriche-hidrocarburos-socioambiental-sinchi roca - derrame de petroleo onp,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4106,Villa Trompeteros - Pluspetrol Norte Lote 8,Perú,Loreto,"",Loreto,Trompeteros,"","",Pluspetrol Norte S.A.,Socioambiental,Hidrocarburos,Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-3.079856166875282,-75.54955416687528,loreto-loreto-trompeteros-hidrocarburos-socioambiental-villa trompeteros - pluspetrol norte lote 8,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4107,Feconamach - Lote 8,Perú,Loreto,"",Loreto,Urarinas,"","","Petroperú, Pluspetrol Note .S.A.",Socioambiental,Hidrocarburos,Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,Solo monitoreo,Gobierno nacional,-4.299337626652387,-75.49769962665239,loreto-loreto-urarinas-hidrocarburos-socioambiental-feconamach - lote 8,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4108,Santa Rosa - Derrame de petroleo ONP,Perú,Loreto,"",Datem del Marañón,Manseriche,"","",Petroperú,Socioambiental,Hidrocarburos,Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,"",Sí,Sí,Solo monitoreo,Gobierno nacional,-4.6918004114009,-77.4443189114009,loreto-datem del maranon-manseriche-hidrocarburos-socioambiental-santa rosa - derrame de petroleo onp,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4109,Chapis - Derrame petroleo,Perú,Loreto,"",Datem del Marañón,Manseriche,C.N. Chapis,"",Petroperú,Socioambiental,Hidrocarburos,Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,"",Sí,Sí,Solo monitoreo,Gobierno nacional,-4.693414380777306,-77.4459328807773,loreto-datem del maranon-manseriche-hidrocarburos-socioambiental-chapis - derrame petroleo,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4110,Cinco cuencas - Lote 8 y 192,Perú,Loreto,"",Loreto,"","","","Petroperú, Pluspetrol Note .S.A.",Socioambiental,Hidrocarburos,Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-4.232939844403337,-74.21839954440335,loreto-loreto--hidrocarburos-socioambiental-cinco cuencas - lote 8 y 192,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4111,Morona - Derrame de petróleo en Mayuriaga,Perú,Loreto,"",Datem del Marañón,Morona,C.N. Mayuriaga,"",Petroperú,Socioambiental,Hidrocarburos,Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-3.7642375773901535,-77.42596007739016,loreto-datem del maranon-morona-hidrocarburos-socioambiental-morona - derrame de petroleo en mayuriaga,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4112,FREDEDAM - Datem del Marañón,Perú,Loreto,"",Datem del Marañón,"","","",Petroperú,Socioambiental,Hidrocarburos,Activo,,Suspendido,Mesa de diálogo: negociación mediada o asistida,Colaborador,No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-4.828753797851392,-76.55451029785138,loreto-datem del maranon--hidrocarburos-socioambiental-frededam - datem del maranon,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4113,Cuatro cuencas - Lote 192,Perú,Loreto,"",Datem del Marañón,"","","Región Loreto, provincia de Loreto","",Socioambiental,Hidrocarburos,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-4.828345786687977,-76.55410228668796,loreto-datem del maranon--hidrocarburos-socioambiental-cuatro cuencas - lote 192,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4114,Minería ilegal – La Pampa,Perú,Madre de Dios,"",Tambopata,Inambari,Zona La Pampa,"","",Socioambiental,Minería,Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-12.970040008333799,-69.9223045083338,madre de dios-tambopata-inambari-mineria-socioambiental-mineria ilegal – la pampa,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
